target,class_name,num_examples,recall,num_correct
29,Red-breasted Merganser (Breeding male),41,0.975609756097561,40
424,Black-throated Gray Warbler,41,0.975609756097561,40
10,Blue-winged Teal  (Male),42,0.9761904761904762,41
526,Blue Grosbeak (Female/juvenile),42,0.9761904761904762,41
328,Hooded Oriole (Adult male),43,0.9767441860465116,42
420,Palm Warbler,44,0.9772727272727273,43
8,American Wigeon (Breeding male),45,0.9777777777777777,44
179,Great Horned Owl,46,0.9782608695652174,45
320,Lazuli Bunting (Adult Male),46,0.9782608695652174,45
393,Wood Thrush,46,0.9782608695652174,45
270,Spotted Sandpiper (Nonbreeding/juvenile),47,0.9787234042553191,46
64,Broad-billed Hummingbird (Adult Male),49,0.9795918367346939,48
122,Snowy Egret,49,0.9795918367346939,48
124,Cattle Egret,49,0.9795918367346939,48
271,Sanderling (Nonbreeding/juvenile),49,0.9795918367346939,48
312,Dark-eyed Junco (Oregon),49,0.9795918367346939,48
534,Brown-headed Cowbird (Female/Juvenile),49,0.9795918367346939,48
329,Bullock's Oriole (Adult male),51,0.9803921568627451,50
383,Golden-crowned Kinglet,51,0.9803921568627451,50
441,Field Sparrow,51,0.9803921568627451,50
332,Purple Finch (Adult Male),52,0.9807692307692307,51
506,Snow Bunting (Nonbreeding),52,0.9807692307692307,51
541,House Finch (Female/immature),52,0.9807692307692307,51
93,Black Skimmer,53,0.9811320754716981,52
315,Western Tanager (Breeding Male),53,0.9811320754716981,52
357,Mountain Chickadee,53,0.9811320754716981,52
143,Semipalmated Plover,54,0.9814814814814815,53
376,House Wren,54,0.9814814814814815,53
156,Ruddy Turnstone,55,0.9818181818181818,54
113,Wood Stork,56,0.9821428571428571,55
394,Varied Thrush,56,0.9821428571428571,55
83,Herring Gull (Adult),57,0.9824561403508771,56
354,Barn Swallow,57,0.9824561403508771,56
483,White-eyed Vireo,57,0.9824561403508771,56
190,Acorn Woodpecker,58,0.9827586206896551,57
272,Dunlin (Nonbreeding/juvenile),58,0.9827586206896551,57
130,Turkey Vulture,59,0.9830508474576272,58
322,Painted Bunting (Adult Male),59,0.9830508474576272,58
45,Yellow-crowned Night-Heron (Adult),60,0.9833333333333333,59
47,"Bald Eagle (Adult, subadult)",60,0.9833333333333333,59
80,Ring-billed Gull (Adult),60,0.9833333333333333,59
117,Anhinga,60,0.9833333333333333,59
121,Great Egret,60,0.9833333333333333,59
161,Least Sandpiper,60,0.9833333333333333,59
162,Short-billed Dowitcher,60,0.9833333333333333,59
189,Belted Kingfisher,60,0.9833333333333333,59
246,Horned Grebe (Nonbreeding/juvenile),60,0.9833333333333333,59
293,Fox Sparrow (Red),60,0.9833333333333333,59
334,House Finch (Adult Male),60,0.9833333333333333,59
363,Tufted Titmouse,60,0.9833333333333333,59
395,Gray Catbird,60,0.9833333333333333,59
408,Black-and-white Warbler,60,0.9833333333333333,59
410,Tennessee Warbler,60,0.9833333333333333,59
427,Black-throated Green Warbler,60,0.9833333333333333,59
428,Canada Warbler,60,0.9833333333333333,59
444,Savannah Sparrow,60,0.9833333333333333,59
446,Song Sparrow,60,0.9833333333333333,59
447,Lincoln's Sparrow,60,0.9833333333333333,59
448,Swamp Sparrow,60,0.9833333333333333,59
466,Pine Siskin,60,0.9833333333333333,59
472,Black Phoebe,60,0.9833333333333333,59
491,Red-eyed Vireo,60,0.9833333333333333,59
504,American Robin (Juvenile),60,0.9833333333333333,59
507,Common Yellowthroat (Female/immature male),60,0.9833333333333333,59
523,Northern Cardinal (Female/Juvenile),60,0.9833333333333333,59
6,Wood Duck (Breeding male),60,1.0,60
12,Northern Shoveler (Breeding male),60,1.0,60
24,Bufflehead (Breeding male),60,1.0,60
44,Black-crowned Night-Heron (Adult),60,1.0,60
110,Pied-billed Grebe,60,1.0,60
125,Green Heron,60,1.0,60
155,Marbled Godwit,60,1.0,60
300,Common Yellowthroat (Adult Male),60,1.0,60
301,American Redstart (Adult Male),60,1.0,60
304,Chestnut-sided Warbler (Breeding male),60,1.0,60
310,White-crowned Sparrow (Adult),60,1.0,60
316,Northern Cardinal (Adult Male),60,1.0,60
317,Rose-breasted Grosbeak (Adult Male),60,1.0,60
321,Indigo Bunting (Adult Male),60,1.0,60
327,Brown-headed Cowbird (Male),60,1.0,60
338,American Goldfinch (Breeding Male),60,1.0,60
339,Evening Grosbeak (Adult Male),60,1.0,60
347,Horned Lark,60,1.0,60
374,Carolina Wren,60,1.0,60
379,Marsh Wren,60,1.0,60
384,Ruby-crowned Kinglet,60,1.0,60
396,Northern Mockingbird,60,1.0,60
423,Prairie Warbler,60,1.0,60
425,Townsend's Warbler,60,1.0,60
452,Dickcissel,60,1.0,60
481,Loggerhead Shrike,60,1.0,60
493,Steller's Jay,60,1.0,60
496,Western Scrub-Jay,60,1.0,60
518,Golden-crowned Sparrow (Immature),60,1.0,60
531,Red-winged Blackbird (Female/juvenile),60,1.0,60
546,Evening Grosbeak (Female/Juvenile),60,1.0,60
73,Red-headed Woodpecker (Adult),59,1.0,59
74,Northern Flicker (Yellow-shafted),59,1.0,59
167,Eurasian Collared-Dove,59,1.0,59
297,American Robin (Adult),59,1.0,59
306,Black-throated Blue Warbler (Adult Male),59,1.0,59
337,Lesser Goldfinch (Adult Male),59,1.0,59
438,American Tree Sparrow,59,1.0,59
443,Lark Sparrow,59,1.0,59
46,White Ibis (Adult),58,1.0,58
318,Black-headed Grosbeak (Adult Male),58,1.0,58
371,Brown Creeper,58,1.0,58
401,American Pipit,58,1.0,58
474,Say's Phoebe,58,1.0,58
30,California Quail (Male),56,1.0,56
11,Cinnamon Teal (Male),55,1.0,55
163,Wilson's Snipe,55,1.0,55
323,Bobolink (Breeding male),55,1.0,55
148,American Avocet,54,1.0,54
358,Chestnut-backed Chickadee,54,1.0,54
403,Cedar Waxwing,54,1.0,54
27,Hooded Merganser (Breeding male),53,1.0,53
341,Vermilion Flycatcher (Adult male),53,1.0,53
131,Osprey,52,1.0,52
25,Common Goldeneye (Breeding male),51,1.0,51
60,Spotted Sandpiper (Breeding),51,1.0,51
181,Northern Pygmy-Owl,50,1.0,50
191,Gila Woodpecker,50,1.0,50
294,Summer Tanager (Adult Male),50,1.0,50
